,사용일자,버스,지하철,버스비율,지하철비율
0,2018-01-01,32127777,44874834.0,0.4172297092627158,0.5827702907372843
1,2018-01-08,34827241,48821204.0,0.4163525215561389,0.5836474784438611
2,2018-01-15,36112393,50260855.0,0.41809696678304836,0.5819030332169516
3,2018-01-22,33451739,46692746.0,0.4173928998358402,0.5826071001641597
4,2018-01-29,35701402,49354295.0,0.4197414548257714,0.5802585451742286
5,2018-02-05,36128143,49162245.0,0.4235898539938639,0.5764101460061362
6,2018-02-12,26482273,37289387.0,0.41526711081380036,0.5847328891861996
7,2018-02-19,36183504,52075274.0,0.40997059805201475,0.5900294019479853
8,2018-02-26,34159102,48172710.0,0.41489554487152547,0.5851044551284745
9,2018-03-05,38058058,53710441.0,0.4147181049566911,0.585281895043309
10,2018-03-12,38116458,54313066.0,0.4123840127100514,0.5876159872899486
11,2018-03-19,37936129,53992288.0,0.4126703171664535,0.5873296828335465
12,2018-03-26,38401242,54176749.0,0.41479882621345715,0.5852011737865429
13,2018-04-02,37805778,54158899.0,0.4110902058624095,0.5889097941375905
14,2018-04-09,37832180,54013454.0,0.4119104888535039,0.5880895111464961
15,2018-04-16,37607457,53499038.0,0.4127856855869606,0.5872143144130394
16,2018-04-23,37818882,54195692.0,0.41100969505113394,0.5889903049488661
17,2018-04-30,34235778,51696335.0,0.3984049362314645,0.6015950637685356
18,2018-05-07,31767297,51853385.0,0.3798976071493892,0.6201023928506109
19,2018-05-14,38189811,54681594.0,0.4112117287339413,0.5887882712660587
20,2018-05-21,36128397,51758986.0,0.4110760357945804,0.5889239642054196
21,2018-05-28,38236230,53910290.0,0.41495034212903537,0.5850496578709646
22,2018-06-04,34388934,50259911.0,0.4062540250844533,0.5937459749155467
23,2018-06-11,29875938,49701176.0,0.3754337962042705,0.6245662037957295
24,2018-06-18,37874000,53217631.0,0.41577914001781346,0.5842208599821865
25,2018-06-25,29855573,49703347.0,0.37526367879302536,0.6247363212069746
26,2018-07-02,37501064,51462116.0,0.4215346618679773,0.5784653381320227
27,2018-07-09,33348186,51749706.0,0.391880283003955,0.608119716996045
28,2018-07-16,37834683,50680256.0,0.4274383898067195,0.5725616101932804
29,2018-07-23,36725272,49166718.0,0.4275750509447971,0.5724249490552029
30,2018-07-30,34280457,46102257.0,0.4264655333732573,0.5735344666267427
31,2018-08-06,35856271,47875946.0,0.4282255060796969,0.5717744939203031
32,2018-08-13,34925229,46497172.0,0.4289388248327386,0.5710611751672614
33,2018-08-20,36841054,49019886.0,0.4290781582405224,0.5709218417594776
34,2018-08-27,37447324,50669685.0,0.42497270873095566,0.5750272912690443
35,2018-09-03,38838897,53400326.0,0.4210670443310217,0.5789329556689783
36,2018-09-10,38894230,53738098.0,0.41987749676333297,0.580122503236667
37,2018-09-17,37691223,51097621.0,0.42450404016973126,0.5754959598302688
38,2018-09-24,27805312,39174209.0,0.4151315444611794,0.5848684555388206
39,2018-10-01,35774745,50285899.0,0.41569227625115146,0.5843077237488485
40,2018-10-08,36014767,51567381.0,0.41121127789649553,0.5887887221035045
41,2018-10-15,38534937,54830023.0,0.4127344669777612,0.5872655330222387
42,2018-10-22,37601834,54003106.0,0.4104782340341034,0.5895217659658966
43,2018-10-29,38027860,54500902.0,0.4109842083481026,0.5890157916518974
44,2018-11-05,37512979,53481247.0,0.41225669637543816,0.5877433036245618
45,2018-11-12,37814812,54105762.0,0.41138572524579753,0.5886142747542025
46,2018-11-19,37731497,53917964.0,0.411693605050225,0.588306394949775
47,2018-11-26,37522712,53567912.0,0.41192726926538564,0.5880727307346143
48,2018-12-03,36454773,52392937.0,0.41030627576107476,0.5896937242389252
49,2018-12-10,37398793,53958867.0,0.40936680076963444,0.5906331992303656
50,2018-12-17,38194627,54803201.0,0.4107045059159876,0.5892954940840124
51,2018-12-24,33066822,47771077.0,0.40905098238636806,0.5909490176136319
52,2018-12-31,31209905,45003838.0,0.4095049497831382,0.5904950502168618
53,2019-01-07,34847591,50664859.0,0.407514823864829,0.5924851761351709
54,2019-01-14,34752232,50585415.0,0.40723213284753446,0.5927678671524655
55,2019-01-21,34996935,51207957.0,0.40597388602957707,0.5940261139704229
56,2019-01-28,34320093,48204153.0,0.41587890424348745,0.5841210957565126
57,2019-02-04,24302298,35198700.0,0.4084351324661815,0.5915648675338185
58,2019-02-11,36234920,52405438.0,0.4087858038659997,0.5912141961340003
59,2019-02-18,36324173,52948701.0,0.40688925283171684,0.5931107471682832
60,2019-02-25,33669691,49811877.0,0.4033188619552522,0.5966811380447478
61,2019-03-04,38025911,54259768.0,0.41204563277905776,0.5879543672209423
62,2019-03-11,37709261,54619282.0,0.4084247381657479,0.591575261834252
63,2019-03-18,37456251,54280685.0,0.40830065438418395,0.591699345615816
64,2019-03-25,37333942,54153603.0,0.4080767715430554,0.5919232284569446
65,2019-04-01,37615216,54732861.0,0.4073199705068033,0.5926800294931966
66,2019-04-08,37477916,54809698.0,0.40609908931007793,0.593900910689922
67,2019-04-15,37349891,54221930.0,0.4078753768585644,0.5921246231414357
68,2019-04-22,37542250,54780155.0,0.40664289453898,0.59335710546102
69,2019-04-29,36723267,54468367.0,0.4027043423742138,0.5972956576257862
70,2019-05-06,36136020,52799853.0,0.40631545833029603,0.593684541669704
71,2019-05-13,37808271,55255349.0,0.4062626298009899,0.5937373701990101
72,2019-05-20,38209126,55618059.0,0.4072287365330208,0.5927712634669792
73,2019-05-27,37643954,54368209.0,0.4091193248005701,0.5908806751994299
74,2019-06-03,34648416,49635298.0,0.41109265782948295,0.5889073421705171
